spt_objectid,t,population
1,1,3633.94203549
1,2,3749.4419981
1,3,3868.61297175
1,4,3991.57163461
1,5,4118.43837327
1,6,4249.33740068
1,7,4384.39687771
1,8,4523.74903867
1,9,4667.53032073
1,10,4815.88149757
2,1,1941.4678656
2,2,2036.35735988
2,3,2135.88459053
2,4,2240.27622752
2,5,2349.77001934
2,6,2464.61533446
2,7,2585.07372928
2,8,2711.41954381
2,9,2843.94052645
2,10,2982.93848934
3,1,4248.95841712
3,2,4417.33487409
3,3,4592.38370308
3,4,4774.36931485
3,5,4963.56659818
3,6,5160.26133503
3,7,5364.75063225
3,8,5577.34337035
3,9,5798.36067008
3,10,6028.13637744
4,1,1092.00912341
4,2,1142.22598238
4,3,1194.7521013
4,4,1249.69367321
4,5,1307.16177453
4,6,1367.27258962
4,7,1430.14764564
4,8,1495.9140583
4,9,1564.70478879
4,10,1636.65891264
5,1,1373.43232312
5,2,1435.55277489
5,3,1500.48293956
5,4,1568.34990068
5,5,1639.28648977
5,6,1713.43154635
5,7,1790.93018967
5,8,1871.9341027
5,9,1956.60182908
5,10,2045.09908336
6,1,4986.88812298
6,2,5189.70224355
6,3,5400.76470788
6,4,5620.41097177
6,5,5848.99013384
6,6,6086.86549037
6,7,6334.41511271
6,8,6592.03244816
6,9,6860.12694533
6,10,7139.12470488
7,1,4977.61861245
7,2,5158.58568625
7,3,5346.13202702
7,4,5540.49683163
7,5,5741.92799321
7,6,5950.68241731
7,7,6167.02634962
7,8,6391.23571546
7,9,6623.59647176
7,10,6864.40497172
8,1,5135.54367448
8,2,5322.66575832
8,3,5516.60594682
8,4,5717.61266897
8,5,5925.9434057
8,6,6141.86501967
8,7,6365.65409713
8,8,6597.5973022
8,9,6837.99174411
8,10,7087.14535774
9,1,1213.11796277
9,2,1262.13995849
9,3,1313.14292897
9,4,1366.20692523
9,5,1421.41523315
9,6,1478.8545042
9,7,1538.6148914
9,8,1600.79019086
9,9,1665.47798899
9,10,1732.77981565
10,1,3465.08786267
10,2,3634.02962955
10,3,3811.20822093
10,4,3997.02522653
10,5,4191.90181575
10,6,4396.27969228
10,7,4610.62209522
10,8,4835.41484913
10,9,5071.1674651
10,10,5318.41429568
11,1,1254.25227137
11,2,1306.60196032
11,3,1361.1366084
11,4,1417.9474109
11,5,1477.12936943
11,6,1538.78145076
11,7,1603.00675229
11,8,1669.91267448
11,9,1739.61110045
11,10,1812.21858309
12,1,5087.51591853
12,2,5273.5978446
12,3,5466.48593772
12,4,5666.42914152
12,5,5873.68550503
12,6,6088.52251575
12,7,6311.21744482
12,8,6542.05770494
12,9,6781.34122123
12,10,7029.37681581
13,1,4732.50451557
13,2,4885.82002397
13,3,5044.10238345
13,4,5207.51250146
13,5,5376.21649826
13,6,5550.38587581
13,7,5730.19769206
13,8,5915.83474101
13,9,6107.48573849
13,10,6305.345514
14,1,4874.08934998
14,2,5023.63015259
14,3,5177.75898182
14,4,5336.61660183
14,5,5500.34809556
14,6,5669.10299721
14,7,5843.03542877
14,8,6022.30424084
14,9,6207.07315767
14,10,6397.5109267
15,1,3730.67194563
15,2,3877.93624015
15,3,4031.01363558
15,4,4190.13359785
15,5,4355.53465086
15,6,4527.46473397
15,7,4706.18157365
15,8,4891.9530699
15,9,5085.05769774
15,10,5285.78492474
16,1,3158.22462792
16,2,3290.78944256
16,3,3428.91859544
16,4,3572.84564673
16,5,3722.81396017
16,6,3879.07711454
16,7,4041.89933247
16,8,4211.55592722
16,9,4388.33376813
16,10,4572.53176576
17,1,3267.1552001
17,2,3423.44551043
17,3,3587.21225198
17,4,3758.81307342
17,5,3938.6227322
17,6,4127.033913
17,7,4324.45808527
17,8,4531.32640182
17,9,4748.09064049
17,10,4975.22419071
18,1,4500.0677972
18,2,4707.25480693
18,3,4923.98088561
18,4,5150.68522022
18,5,5387.82721828
18,6,5635.88743884
18,7,5895.36856629
18,8,6166.79642905
18,9,6450.72106515
18,10,6747.71783683
19,1,3943.07007292
19,2,4067.97530089
19,3,4196.83717068
19,4,4329.78101743
19,5,4466.93614656
19,6,4608.43595949
19,7,4754.41808342
19,8,4905.02450521
19,9,5060.40170944
19,10,5220.70082089
20,1,4983.01707036
20,2,5136.62786998
20,3,5294.97400914
20,4,5458.20146351
20,5,5626.46070876
20,6,5799.90685921
20,7,5978.69981091
20,8,6163.00438898
20,9,6352.99049958
20,10,6548.83328656
21,1,4383.9539055
21,2,4560.76218453
21,3,4744.70127929
21,4,4936.05878116
21,5,5135.13388027
21,6,5342.23783334
21,7,5557.69445031
21,8,5781.84060063
21,9,6015.02673995
21,10,6257.61745807
22,1,2015.57948779
22,2,2079.09962723
22,3,2144.62157713
22,4,2212.20842371
22,5,2281.92524133
22,6,2353.83915511
22,7,2428.01940563
22,8,2504.53741553
22,9,2583.46685831
22,10,2664.88372928
23,1,1494.87318736
23,2,1561.59737686
23,3,1631.29982398
23,4,1704.1134643
23,5,1780.17716701
23,6,1859.6359998
23,7,1942.64150548
23,8,2029.35199105
23,9,2119.93282959
23,10,2214.55677565
24,1,2712.63865349
24,2,2842.18171666
24,3,2977.91115677
24,4,3120.12240653
24,5,3269.12500718
24,6,3425.24328219
24,7,3588.81704322
24,8,3760.20232976
24,9,3939.77218411
24,10,4127.91746334
25,1,4580.56802593
25,2,4807.88346476
25,3,5046.47966798
25,4,5296.91645524
25,5,5559.7814278
25,6,5835.69134724
25,7,6125.29358258
25,8,6429.2676292
25,9,6748.32670313
25,10,7083.21941451
26,1,4058.82421405
26,2,4217.62775233
26,3,4382.64455889
26,4,4554.11773098
26,5,4732.29987715
26,6,4917.45348939
26,7,5109.8513298
26,8,5309.77683247
26,9,5517.52452096
26,10,5733.40044222
27,1,3089.32092374
27,2,3188.74165381
27,3,3291.36194839
27,4,3397.28477607
27,5,3506.61641918
27,6,3619.46658046
27,7,3735.94849308
27,8,3856.17903431
27,9,3980.27884276
