Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
trip time mode i[a1,car],91.0906,90.9453,91.1221,92.3182,93.3303,94.2623,95.3718,96.4096,97.4811,98.8204,100.123,101.375,102.547,103.944,105.407,106.781,109.621,111.001,112.983,114.304,116.369,118.326,120.462,122.72,125.081,127.621,130.35,133.257,136.117,139.165,142.433
trip time mode i[a2,car],89.4802,89.3965,89.5811,90.307,90.9956,91.5302,92.2596,92.9082,93.617,94.6051,95.3621,95.9745,96.5094,97.1528,97.8271,98.4308,99.5117,100.111,100.769,101.513,101.999,102.423,102.916,103.403,103.849,104.303,104.767,105.254,105.75,106.256,106.765
trip time mode i[a3,car],97.2768,97.1039,97.278,98.4443,99.4936,100.346,101.548,102.733,103.902,105.376,106.774,108.019,109.406,110.905,112.459,113.889,116.806,118.231,120.209,122.313,124.298,126.384,128.642,131.034,133.528,136.205,139.071,142.144,145.44,148.987,152.772
trip time mode i[a4,car],89.0051,88.9692,89.3478,91.0432,92.6712,93.9704,95.5787,97.1532,98.5586,100.267,101.395,102.397,103.303,104.417,105.476,106.098,107.079,107.676,108.345,109.007,109.486,109.98,110.388,110.782,111.124,111.475,111.838,112.228,112.628,113.04,113.456
trip time mode i[a5,car],83.6329,83.7446,84.1716,86.1806,88.4149,89.8616,91.6718,93.5422,95.1689,97.3566,99.5808,101.903,104.087,106.915,108.62,110.16,112.32,114.088,116,117.78,119.167,120.762,122.434,124.167,125.534,125.928,126.332,126.765,127.211,127.641,128.075
trip time mode i[a6,car],91.2133,91.4957,92.5086,94.7935,96.8302,97.9628,99.3215,100.626,101.788,103.23,104.503,105.607,106.601,107.814,109.023,110.115,111.799,112.931,114.199,115.557,116.716,117.881,119.113,120.359,121.598,122.899,124.263,125.56,126.924,128.315,129.766
trip time mode i[a7,car],83.5121,83.8212,84.6308,87.1984,89.6577,91.8853,94.1799,95.6823,97.0166,98.676,100.116,101.369,102.498,103.873,105.28,106.549,107.975,108.614,109.238,110.022,110.543,111.022,111.54,112.048,112.496,112.957,113.434,113.945,114.452,114.95,115.452
trip time mode i[a8,car],83.5797,83.6981,84.3415,86.2613,88.3056,89.9051,91.6853,92.8364,93.8137,94.9961,95.9119,96.646,97.2787,98.0629,98.8737,99.5821,100.639,101.268,101.964,102.7,103.069,103.681,104.128,104.558,104.937,105.327,105.731,106.163,106.608,107.065,107.529
trip time mode i[a9,car],80.3563,80.5916,81.3309,83.4243,85.636,87.5259,89.544,91.6704,92.837,94.1124,95.1464,96.0361,96.8423,97.8056,98.7743,99.5968,100.649,101.37,102.047,102.755,103.242,103.697,104.182,104.658,105.085,105.518,105.965,106.442,106.927,107.417,107.909
trip time mode i[a10,car],75.8696,76.0258,76.6541,78.4408,80.0481,81.3913,82.8046,84.3299,85.5716,87.0544,88.1771,88.7731,90.2443,91.3845,92.9219,93.9727,95.6623,96.5599,97.6225,98.833,99.5584,100.181,100.85,101.483,102.008,102.55,103.103,103.705,104.32,104.937,105.428
trip time mode i[a11,car],73.1929,73.432,74.1257,76.075,77.9114,79.4605,81.032,82.6429,83.9149,85.4009,86.6718,87.7732,88.7771,89.9724,91.2719,92.198,93.9558,94.8665,95.9633,96.9503,97.4948,97.9703,98.4906,98.98,99.3664,99.7609,100.164,100.608,101.062,101.501,101.93
trip time mode i[a12,car],86.8856,87.0532,87.4326,88.9661,90.5074,91.8524,93.4399,94.9622,96.34,98.107,99.6644,101.047,102.299,103.332,104.211,104.969,106.079,106.632,107.6,108.347,108.83,109.265,109.736,110.197,110.602,111.017,111.441,111.861,112.295,112.743,113.195
trip time mode i[a13,car],79.7219,79.9511,80.9953,83.0211,85.225,87.1155,89.2666,91.6074,93.6947,96.3496,98.8935,101.163,102.33,103.772,105.272,106.643,108.565,109.998,111.453,113.222,114.557,115.884,117.353,118.848,120.177,121.549,122.933,124.399,125.917,127.489,129.082
trip time mode i[a14,car],82.2861,82.5209,83.4888,86.8268,90.048,91.8048,93.6335,95.3242,96.834,98.7432,100.481,102.027,103.421,105.121,106.86,108.422,110.291,111.02,111.671,112.602,113.146,113.637,114.166,114.671,115.096,115.533,115.978,116.455,116.949,117.458,117.973
trip time mode i[a15,car],65.0994,65.3437,66.0518,67.5328,69.1041,70.3042,71.4929,72.7356,73.6788,74.8212,75.7537,76.4931,77.0719,77.6607,78.9213,79.642,80.8566,81.4636,82.0718,82.8056,83.2449,83.6272,84.0418,84.4214,84.7267,85.034,85.3541,85.6896,86.0253,86.355,86.6732
trip time mode i[a16,car],47.1569,47.4075,47.8377,48.9588,50.2793,51.4107,52.4577,53.6026,54.6149,55.8224,57.0422,58.2684,59.41,60.537,61.6787,62.2047,63.011,63.4955,63.9493,64.4326,64.7321,64.9974,65.2738,65.525,65.7257,65.9264,66.1435,66.377,66.6135,66.8442,67.0643
trip time mode i[a17,car],41.5634,41.8203,42.1682,42.8627,43.6497,44.273,44.8399,45.4332,45.9041,46.4342,46.9068,47.3017,47.7473,48.3957,49.1357,49.7655,50.5629,51.2085,51.9117,52.7206,53.4728,54.0808,54.6137,54.996,55.1632,55.3365,55.5273,55.7325,55.9435,56.1555,56.37
trip time mode i[a18,car],84.9876,85.0298,85.3923,87.321,89.2683,91.1324,93.1348,95.0033,96.7421,98.9759,101.043,102.929,104.649,106.75,108.951,110.969,113.732,115.739,118.228,120.537,122.514,124.226,124.736,125.227,125.66,126.1,126.543,127.019,127.51,128.014,128.523
trip time mode i[a19,car],73.9971,74.2798,74.9172,77.6547,79.7212,81.2924,82.962,84.7378,86.2518,88.2097,89.8791,91.2131,91.951,92.8568,93.7932,94.5927,95.756,96.4656,97.2504,98.0475,98.6902,99.2189,99.7534,100.28,100.752,101.239,101.74,102.265,102.765,103.24,103.708
trip time mode i[a20,car],57.2902,57.6976,58.3155,60.0833,61.9747,63.4863,64.9752,66.3366,67.252,68.3618,69.3174,70.1023,70.849,71.8357,72.7705,73.7109,74.9874,75.7617,76.5367,77.3194,77.789,78.2096,78.6935,79.1689,79.5718,79.9751,80.3977,80.8473,81.282,81.7106,82.1438
